Date (Months),Monthly Rainfall Total (mm),Mean Wind Speed (km/h),Max Wind Speed (km/h),MeanTemperature (°C),MaximumTemperature (°C),MinimumTemperature (°C)
2004-05,137.6,4.167741935,27.71935484,28.93870968,32.77096774,26.36129032
2004-06,127.2,8.566666667,29.15,29,32.41666667,26.16
2004-07,166.6,6.125806452,32.13870968,27.36129032,30.83870968,24.46451613
2004-08,185.2,11.09677419,31.05806452,28.24193548,31.7,25.43225806
2004-09,128.9,7.723333333,34.48,27.79666667,31.67333333,25.04666667
2004-10,125.6,5.290322581,29.98709677,27.78064516,31.63225806,24.97419355
2004-11,166.2,4.673333333,28.94333333,27.27666667,31.44333333,24.64
2004-12,139.8,7.619354839,29.62903226,26.83225806,30.15483871,24.5
2005-01,163.2,9.864516129,32.31290323,26.62258065,30.22580645,23.94516129
2005-02,8.4,9.671428571,32.37857143,28.52142857,33.43571429,25.26785714
2005-03,82.4,8.787096774,33.21290323,28.49677419,33.25483871,25.36129032
2005-04,81.7,5.963333333,30.97666667,28.72,32.99666667,25.73666667
2005-05,331.1,5.525806452,33.60967742,28.50645161,32.43225806,25.23225806
2005-06,82.3,5.836666667,28.99666667,28.78666667,32,26.1
2005-07,104,5.135483871,30.03548387,28.01935484,31.43870968,25.19354839
2005-08,58.5,7.180645161,31.16451613,28.23548387,31.53225806,25.5
2005-09,175.7,6.526666667,32.33333333,28.16666667,31.98666667,25.20333333
2005-10,314.5,4.487096774,30.25483871,27.58387097,31.33225806,24.66451613
2005-11,362.9,3.756666667,27.80333333,27.26666667,30.78333333,24.43
2005-12,166,5.7,31.94516129,27.24193548,30.96129032,24.64516129
2006-01,454.4,7.296774194,30.41935484,26.46451613,29.99032258,24.14516129
2006-02,115.5,9.864285714,34.58928571,27.54642857,31.53214286,24.84642857
2006-03,83.1,7.864516129,30.79677419,28.33548387,33.14193548,25.2
2006-04,239.8,3.25,29.15666667,27.62666667,32.09333333,24.84333333
